problem,heuristic,expansions,plan_length,search_time
p01,add,81,20,0.03388524055480957
p01,ff,531,20,0.2138230800628662
p01,llm,100708,20,3.167598009109497
p01,max,53337,20,11.398064851760864
p02,add,302,19,0.15381217002868652
p02,ff,949,19,0.3355550765991211
p02,llm,74146,19,2.2304980754852295
p02,max,45289,19,8.5260009765625
p03,add,46,15,0.01589202880859375
p03,ff,224,15,0.08118605613708496
p03,llm,19668,15,0.5636160373687744
p03,max,8783,15,1.7627508640289307
p04,add,522,30,0.29636621475219727
p04,ff,4479,27,1.7075669765472412
p04,llm,412335,27,13.701573848724365
p04,max,358794,27,65.12548208236694
p05,add,245,17,0.10218119621276855
p05,ff,685,17,0.26526713371276855
p05,llm,30342,17,0.9455850124359131
p05,max,22220,17,4.420406103134155
