domain,range,method,n_total,n_solved,coverage_mean,expansions_mean_solved,expansions_median_solved,time_mean_solved,time_median_solved,plan_length_mean_solved,plan_length_median_solved
blocksworld,test,add,5,5,1.0,88.0,50.0,0.013671922683715781,0.0096592903137207,18.0,20.0
blocksworld,test,fd-lmcut,10,10,1.0,82.4,43.0,0.002087,0.000751,15.6,16.0
blocksworld,test,ff,5,5,1.0,426.8,91.0,0.07181897163391109,0.0104408264160156,16.4,16.0
blocksworld,test,llm-gpt-4.1-mini,5,5,1.0,141.0,58.0,0.009301805496215782,0.0040888786315917,18.0,20.0
blocksworld,test,llm-gpt-4o-mini,5,5,1.0,12713.0,6275.0,0.22911772727966304,0.0918109416961669,16.0,16.0
blocksworld,test,max,5,5,1.0,3137.6,1209.0,0.45705327987670896,0.1519951820373535,15.6,16.0
blocksworld,train,add,5,5,1.0,18.2,16.0,0.005442380905151339,0.0031981468200683,8.8,10.0
blocksworld,train,fd-lmcut,10,10,1.0,13.4,12.0,0.00026199999999999997,0.000204,8.8,10.0
blocksworld,train,ff,5,5,1.0,21.4,14.0,0.00709338188171382,0.0038189888000488,8.8,10.0
blocksworld,train,llm-gpt-4.1-mini,5,5,1.0,20.4,16.0,0.0010567665100097,0.0007071495056152,8.8,10.0
blocksworld,train,llm-gpt-4o-mini,5,5,1.0,329.8,112.0,0.01544027328491206,0.0056588649749755,8.8,10.0
blocksworld,train,max,5,5,1.0,87.8,28.0,0.01966304779052732,0.0064172744750976,8.8,10.0
depots,test,fd-lmcut,10,4,0.4,75208.5,75208.5,36.1761965,36.1761965,22.5,22.5
depots,test,llm-gpt-4.1-mini,5,0,0.0,,,,,,
depots,test,llm-gpt-4o-mini,5,2,0.4,28109.5,28109.5,50.41805994510651,50.41805994510651,23.5,23.5
depots,train,add,5,5,1.0,6521.4,1588.0,63.91208834648131,8.92167043685913,33.0,33.0
depots,train,fd-lmcut,10,8,0.8,130563.0,19114.5,33.04533325,3.198651,20.5,21.0
depots,train,ff,5,4,0.8,15299.25,4244.5,70.42701864242554,17.74196445941925,22.0,23.0
depots,train,llm-gpt-4.1-mini,5,2,0.4,10473.0,10473.0,1.7920749187469482,1.7920749187469482,12.5,12.5
depots,train,llm-gpt-4o-mini,5,5,1.0,92202.4,6705.0,48.606982469558716,1.8844656944274905,26.8,30.0
depots,train,max,5,2,0.4,2908.5,2908.5,4.190369725227356,4.190369725227356,12.5,12.5
gripper,test,add,5,0,0.0,,,,,,
gripper,test,fd-lmcut,10,4,0.4,6029125.5,6029125.5,118.263283,118.263283,44.0,44.0
gripper,test,ff,5,0,0.0,,,,,,
gripper,test,llm-gpt-4.1-mini,5,5,1.0,2440.0,2288.0,17.494814920425416,9.782947301864624,53.0,53.0
gripper,test,llm-gpt-4o-mini,5,0,0.0,,,,,,
gripper,test,max,5,0,0.0,,,,,,
gripper,train,add,5,4,0.8,11707.5,3729.5,41.35051989555359,8.513285636901855,25.0,25.0
gripper,train,fd-lmcut,10,10,1.0,90154.6,10537.0,1.0782474,0.085993,23.0,23.0
gripper,train,ff,5,4,0.8,19902.0,6246.0,49.548954486846924,10.43080472946167,20.0,20.0
gripper,train,llm-gpt-4.1-mini,5,5,1.0,300.0,223.0,0.37872066497802737,0.1493895053863525,23.0,23.0
gripper,train,llm-gpt-4o-mini,5,4,0.8,20221.25,6434.0,16.38291847705841,3.5276148319244385,20.0,20.0
gripper,train,max,5,3,0.6,4605.333333333333,1832.0,13.502169768015543,3.704200506210327,17.0,17.0
logistics,test,add,5,5,1.0,185.0,113.0,0.08302683830261223,0.0498547554016113,20.2,24.0
logistics,test,fd-lmcut,10,10,1.0,405.8,517.0,0.013664200000000001,0.016169,19.2,24.0
logistics,test,ff,5,5,1.0,1445.2,1541.0,0.5868224620819091,0.6980278491973877,19.2,24.0
logistics,test,llm-gpt-4.1-mini,5,5,1.0,7196.0,10434.0,0.5712750434875489,0.7133173942565918,20.0,25.0
logistics,test,llm-gpt-4o-mini,5,5,1.0,137496.4,193105.0,4.755111217498779,6.562352180480957,19.2,24.0
logistics,test,max,5,5,1.0,138174.4,175898.0,25.181407499313355,33.99450182914734,19.2,24.0
logistics,train,add,5,5,1.0,239.2,245.0,0.3217638969421387,0.3184452056884765,20.2,19.0
logistics,train,fd-lmcut,10,10,1.0,287.8,182.0,0.007342399999999999,0.003672,19.6,19.0
logistics,train,ff,5,5,1.0,1373.6,685.0,1.3743825912475587,0.7968626022338867,19.6,19.0
logistics,train,llm-gpt-4.1-mini,5,5,1.0,11881.4,5763.0,0.9033970832824707,0.4117360115051269,20.4,19.0
logistics,train,llm-gpt-4o-mini,5,5,1.0,33161.8,14107.0,2.636366605758667,1.7479922771453855,24.6,25.0
logistics,train,max,5,5,1.0,97684.6,45289.0,37.26286034584045,21.00719666481018,19.6,19.0
